,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST001973_1,ST001973,AN003219,Reversed phase NEGATIVE ION MODE,MS,Phenomenex,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um,100A)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST001973_2,ST001973,AN003220,HILIC POSITIVE ION MODE,MS,Waters Acquity,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,SI
ST001973_3,ST001973,AN003221,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST000991,ST000991,AN001617,Reversed phase POSITIVE ION MODE,MS,Sciex X500R QTOF,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,ABI Sciex X500R QTOF,QTOF,ESI,POSITIVE,,,,,nanograms (absolute)
ST000663_0,ST000663,AN001012,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000663_1,ST000663,AN001013,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST001894,ST001894,AN003075,Reversed phase NEGATIVE ION MODE,MS,UltiMate 3000 (Thermo Fisher Scientific),"Waters XBridge C18 (150 x 1.0mm,3.5um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,pmol/mg
ST002630,ST002630,AN004302,Reversed phase NEGATIVE ION MODE,MS,Vanquish horizon LC,"Thermo Accucore C30 (100 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST003378_0,ST003378,AN005530,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"ACQUITY UPLC BEH C18 (2.1 x 50mm, 1.7um)",Reversed phase,Waters Xevo-TQ-S,Triple quadrupole,ESI,POSITIVE,,,,,Normalized peak intensity
ST003378_1,ST003378,AN005531,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"ACQUITY UPLC BEH C18 (2.1 x 50mm, 1.7um)",Reversed phase,Waters Xevo-TQ-S,Triple quadrupole,ESI,NEGATIVE,,,,,Normalized peak intensity
ST003378_2,ST003378,AN005532,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"ACQUITY UPLC CSH C18 (2.1 x 50mm, 1.7um)",Reversed phase,Waters Xevo-TQ-S,Triple quadrupole,ESI,POSITIVE,,,,,Normalized peak intensity
ST003378_3,ST003378,AN005533,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"ACQUITY UPLC CSH C18 (2.1 x 50mm, 1.7um)",Reversed phase,Waters Xevo-TQ-S,Triple quadrupole,ESI,NEGATIVE,,,,,Normalized peak intensity
ST001620,ST001620,AN002655,Reversed phase UNSPECIFIED ION MODE,MS,UltiMate 3000,"Waters Acquity UPLC HSS T3 (150x2.1mm,1.8um)",Reversed phase,Thermo Q Exactive Focus,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST001819_0,ST001819,AN002951,Reversed phase NEGATIVE ION MODE,MS,Agilent 1260,Agilent Eclipse XDB-C18 (100 x 3.0mm),Reversed phase,Agilent 6490 QQQ,Triple quadrupole,ESI,NEGATIVE,,,,,area under the curve
ST001819_1,ST001819,AN002952,Reversed phase POSITIVE ION MODE,MS,Agilent 1260,Agilent Eclipse XDB-C18 (100 x 3.0mm),Reversed phase,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,area under the curve
ST001819_2,ST001819,AN002953,Normal phase POSITIVE ION MODE,MS,Agilent 1260,"Phenomenex Luna NH2 (150 x 2.1mm,3um)",HILIC,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,area under the curve
