,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST003436_0,ST003436,AN005645,HILIC NEGATIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Counts per second (cps)
ST003436_1,ST003436,AN005646,HILIC POSITIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,Counts per second (cps)
ST001983,ST001983,AN003234,UPLC UNSPECIFIED ION MODE,MS,Waters ACQUITY ultra-performance liquid chromatography (UPLC),"Waters UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ratio
ST002955,ST002955,AN004852,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish Horizon UHPLC,"SeQuant ZIC- pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak Area
ST001151,ST001151,AN001899,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,ug/ml
ST000880_0,ST000880,AN001433,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,Waters Atlantis HILIC (150 x 2mm),HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST000880_1,ST000880,AN001434,HILIC NEGATIVE ION MODE,MS,Waters Acquity,Phenomenex Luna NH2 (150 x 2.0mm),HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Peak area
ST000880_2,ST000880,AN001435,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST000880_3,ST000880,AN001436,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002119_0,ST002119,AN003467,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,ion counts
ST002119_1,ST002119,AN003468,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,ion counts
ST002119_2,ST002119,AN003469,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,ion counts
ST002119_3,ST002119,AN003470,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,ion counts
ST003309,ST003309,AN005421,GC POSITIVE ION MODE,MS,Shimadzu GCMS-QP2010 ultra,Shimadzu SH-Rxi-5Sil MS (30m x 0.25mm x 0.25um),GC,Shimadzu QP2010 Ultra,GC-MS,EI,POSITIVE,,,,,Peak area
ST000121,ST000121,AN000203,ESI negative ion mode,MS,Agilent 1200,"Phenomenex Luna NH2 (150 x 2.1mm,3um)",HILIC,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,Peak area
ST003199,ST003199,AN005249,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"HILICON iHILIC-(P) Classic (150 x 2.1 mm, 5 um)",HILIC,Thermo Scientific IQ-X tribrid,Orbitrap,ESI,UNSPECIFIED,,,,,A.U.
ST002225,ST002225,AN003634,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,SeQuant ZIC-pHILIC,HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST001359,ST001359,AN002263,Reversed phase POSITIVE ION MODE,MS,Ultimate 3000,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalised peak area
ST001515_0,ST001515,AN002511,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,scaled units
ST001515_1,ST001515,AN002512,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,scaled units
ST001515_2,ST001515,AN002513,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,scaled units
ST001515_3,ST001515,AN002514,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,scaled units
ST002803,ST002803,AN004559,GC POSITIVE ION MODE,MS,Agilent 7890A,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco GC-TOF,GC-TOF,EI,POSITIVE,,,,,quant m/z
ST000968,ST000968,AN001582,GC POSITIVE ION MODE,MS,Leco Pegasus III GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,Counts
ST002252,ST002252,AN003679,None (Direct infusion) POSITIVE ION MODE,MS,N/A,N/A,None (Direct infusion),Waters Xevo-TQ-S,Triple quadrupole,ESI,POSITIVE,,,,,nmol/mg dry weight
ST000917_0,ST000917,AN001497,Core G Fatty acids/Eicosanoids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000917_1,ST000917,AN001499,Core K Prenols/Cardiolipins,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000917_2,ST000917,AN001500,Core E Neutral Lipids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST000917_3,ST000917,AN001501,Core I Sphingolipids,MS,Multiple,Multiple,Unspecified,-,-,Other,UNSPECIFIED,,,,,pmol/ml
ST002858_0,ST002858,AN004684,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap Exploris 120,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002858_1,ST002858,AN004685,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap Exploris 120,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002858_2,ST002858,AN004686,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002858_3,ST002858,AN004687,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002858_4,ST002858,AN004688,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,EI,NEGATIVE,,,,,Peak area
ST002846,ST002846,AN004664,HILIC UNSPECIFIED ION MODE,MS,Thermo Fisher UltiMate 3000,"Waters XBridge Amide (100 x 4.6mm, 3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak area
ST001968_0,ST001968,AN003206,Reversed phase POSITIVE ION MODE,MS,Phenomenex,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um,100A)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,SI
ST001968_1,ST001968,AN003207,Reversed phase NEGATIVE ION MODE,MS,Phenomenex,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um,100A)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST001968_2,ST001968,AN003208,HILIC POSITIVE ION MODE,MS,Waters,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,SI
ST001968_3,ST001968,AN003209,HILIC NEGATIVE ION MODE,MS,Waters,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST002247_0,ST002247,AN003670,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Atlantis HILIC (150 x 2mm,3um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Abundances
ST002247_1,ST002247,AN003671,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Abundances
ST002247_2,ST002247,AN003672,HILIC NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Luna NH2 (150 x 2.1mm,3um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Unitless Abundances
ST002247_3,ST002247,AN003673,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity T3 (150 x 2.1 mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Abundances
ST000671_0,ST000671,AN001028,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000671_1,ST000671,AN001029,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST003431_0,ST003431,AN005635,HILIC NEGATIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Counts per second (cps)
ST003431_1,ST003431,AN005636,HILIC POSITIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,Counts per second (cps)
ST000081_0,ST000081,AN000131,ESI/QTOF positive ion mode,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak area
ST000081_1,ST000081,AN000132,ESI/QTOF negative ion mode,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak area
ST000963,ST000963,AN001577,Reversed phase,MS,Thermo Accela 600,"Thermo Acclaim C30 (150 x 2.1mm,3um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST001140_0,ST001140,AN001870,"Phospholipids, Chol. esters and Diacylglycerols",MS,Agilent 1290 Infinity,"Agilent Zorbax RRHD Eclipse Plus C18 (50 x 2.1mm,1.8um,95 Å)",Reversed phase,Agilent 6460 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,µmol/L
ST001140_1,ST001140,AN001871,Sphingolipids,MS,Agilent 1290 Infinity,"Agilent Zorbax RRHD Eclipse Plus C18 (50 x 2.1mm,1.8um,95 Å)",Reversed phase,Agilent 6495 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,µmol/L
ST001140_2,ST001140,AN001872,Derivatized Spingosine-1-phosphates,MS,Agilent 1290 Infinity,"Waters Acquity BEH HILIC (100 x 2.1mm,1.7um,130 Å)",HILIC,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,µmol/L
ST001140_3,ST001140,AN001873,Triacylglycerols,MS,Agilent 1100,"Agilent Zorbax Eclipse XDB C18 (150 x 3.0mm,1.8um)",Reversed phase,ABI Sciex 4000 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,µmol/L
ST001888_0,ST001888,AN003057,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters XBridge Amide (100 x 4.6mm,3.5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST001888_1,ST001888,AN003058,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters XBridge Amide (100 x 4.6mm,3.5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,LTQ-FT,ESI,NEGATIVE,,,,,Peak height
ST001888_2,ST001888,AN003059,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST001888_3,ST001888,AN003060,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Ion trap,ESI,NEGATIVE,,,,,Peak height
ST001888_4,ST001888,AN003061,GC POSITIVE ION MODE,MS,Agilent 6890N,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,Peak height
ST002713_0,ST002713,AN004397,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST002713_1,ST002713,AN004398,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST000389,ST000389,AN000625,GC POSITIVE ION MODE,MS,Leco Pegasus III GC,Restek Corporation Rtx-5Sil MS,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,counts
ST002797_0,ST002797,AN004550,Normal phase POSITIVE ION MODE,MS,Agilent 6550 QTOF,"MicroSolv Diamond Hydride (150 x 2.1mm, 4um)",Normal phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,intensity
ST002797_1,ST002797,AN004551,Normal phase NEGATIVE ION MODE,MS,Agilent 6550 QTOF,"MicroSolv Diamond Hydride (150 x 2.1mm, 4um)",Normal phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,intensity
ST002819_0,ST002819,AN004590,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,raw area counts rescaled to set the median equal to 1
ST002819_1,ST002819,AN004591,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,raw area counts rescaled to set the median equal to 1
ST002819_2,ST002819,AN004592,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,raw area counts rescaled to set the median equal to 1
ST002819_3,ST002819,AN004593,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,raw area counts rescaled to set the median equal to 1
ST001088,ST001088,AN001773,GC POSITIVE ION MODE,MS,Agilent 7890A,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus HT TOF,GC-TOF,EI,POSITIVE,,,,,Peak Height
ST003238_0,ST003238,AN005303,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Brownlee SPP C18 (75 x 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized to the median value of total lipid signals
ST003238_1,ST003238,AN005304,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Brownlee SPP C18 (75 x 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized to the median value of total lipid signals
ST002642,ST002642,AN004314,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Atlantis HILIC (150 x 2.1mm,3um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST003239_0,ST003239,AN005305,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized to the median value of total lipid signals
ST003239_1,ST003239,AN005306,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized to the median value of total lipid signals
ST003254_0,ST003254,AN005333,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Arbitrary Units
ST003254_1,ST003254,AN005334,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Arbitrary Units
ST003254_2,ST003254,AN005335,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Arbitrary Units
ST003254_3,ST003254,AN005336,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Arbitrary Units
ST000150,ST000150,AN000237,NMR 1D-1H,NMR,,,,,,,,FT-NMR,1D 1H,600 MHz,,
ST000013,ST000013,AN000030,GCMS positive ion mode,MS,Agilent 6890N,,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,Peak height
ST002484,ST002484,AN004375,GC POSITIVE ION MODE,MS,Agilent 7890 GC- Pegasus IV TOF MS,"Restek Rtx-5Sil MS (30m x 0.25mm, 0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,normalized peak heights
ST001988,ST001988,AN003240,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST002027,ST002027,AN003297,HILIC POSITIVE ION MODE,MS,Vanquish,"Waters Acquity UPLC BEH amide,(150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,normalized peak height
ST002324,ST002324,AN003793,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity H-Class,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,relative units
ST001668_0,ST001668,AN002720,Other POSITIVE ION MODE,MS,Agilent CE,fused silica capillary (50 μm i.d. × 80 cm),CE,Agilent CE-TOFMS,TOF,ESI,POSITIVE,,,,,Relative Area
ST001668_1,ST001668,AN002721,Other NEGATIVE ION MODE,MS,Agilent CE,fused silica capillary (50 μm i.d. × 80 cm),CE,Agilent CE-TOFMS,TOF,ESI,NEGATIVE,,,,,Relative Area
ST001668_2,ST001668,AN002722,Reversed phase POSITIVE ION MODE,MS,Agilent 1200SL,"ODS (2x50mm,2um)",Reversed phase,Agilent 6230 TOF,TOF,ESI,POSITIVE,,,,,Relative Area
ST001668_3,ST001668,AN002723,Reversed phase NEGATIVE ION MODE,MS,Agilent 1200SL,"ODS (2x50mm,2um)",Reversed phase,Agilent 6230 TOF,TOF,ESI,NEGATIVE,,,,,Relative Area
ST002928,ST002928,AN004802,Reversed phase UNSPECIFIED ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,% Total
ST000058,ST000058,AN000096,MS positive ion mode,MS,Agilent 6890N,Restek Corporation Rtx-5Sil MS,GC,Leco GC-TOF,GC-TOF,EI,POSITIVE,,,,,Peak area
ST003111_0,ST003111,AN005094,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST003111_1,ST003111,AN005095,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Area
ST002736,ST002736,AN004438,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"SeQuant ZIC- pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST001516_0,ST001516,AN002515,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,raw area counts
ST001516_1,ST001516,AN002516,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,raw area counts
ST001516_2,ST001516,AN002517,Reversed phase UNSPECIFIED ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,raw area counts
ST001507,ST001507,AN002498,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak Area
ST001048_0,ST001048,AN001716,HILIC POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"SeQuant ZIC-pHILIC (100 x 2.1mm,3.5um)",HILIC,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Peak Intensity
ST001048_1,ST001048,AN001717,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent Zorbax Eclipse Plus C18 (50 x 2.1mm, 1.8 um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak Intensity
ST000624,ST000624,AN000956,Direct infusion,MS,None,none,None (Direct infusion),Thermo Quantiva Access Max,Triple quadrupole,ESI,UNSPECIFIED,,,,,Peak area
ST000566_0,ST000566,AN000869,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity HSS C18 (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,intensity
ST000566_1,ST000566,AN000870,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity HSS C18 (150 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,intensity
ST001204_0,ST001204,AN002004,pHILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak intensity
ST001204_1,ST001204,AN002005,pHILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak intensity
ST000569,ST000569,AN000876,GC POSITIVE ION MODE,MS,Agilent 7890B,RTX-5Sil MS,GC,Leco Pegasus HT TOF,GC-TOF,EI,POSITIVE,,,,,Intensity
ST000693_0,ST000693,AN001071,Reversed phase NEGATIVE ION MODE,MS,Agilent,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,peak area
ST000693_1,ST000693,AN001072,Reversed phase POSITIVE ION MODE,MS,Agilent,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,peak area
ST001676,ST001676,AN002734,Reversed phase POSITIVE ION MODE,MS,Waters Acquity UHPLC UNSPSC 41115709,"Waters BEH C18 (00mm x 2.1mm,1.7um )",Reversed phase,Agilent 6540 QTOF,QTOF,ESI,POSITIVE,,,,,Intensities
ST001019,ST001019,AN001667,Reversed phase POSITIVE ION MODE,MS,Agilent 6490,"Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",Reversed phase,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,pmol/umol PC
