database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20P02830216_CSHC18_NEG	20P02830217_CSHC18_NEG	20P02830215_CSHC18_NEG	20P02830224_CSHC18_NEG	20P02830213_CSHC18_NEG	20P02830210_CSHC18_NEG	20P02830211_CSHC18_NEG	20P02830218_CSHC18_NEG	20P02830219_CSHC18_NEG	20P02830133_CSHC18_NEG	20P02830132_CSHC18_NEG	20P02830131_CSHC18_NEG	20P02830130_CSHC18_NEG	20P02830136_CSHC18_NEG	20P02830135_CSHC18_NEG	20P02830134_CSHC18_NEG	20P02830139_CSHC18_NEG	20P02830138_CSHC18_NEG	20P02830024_CSHC18_NEG	20P02830320_CSHC18_NEG	20P02830026_CSHC18_NEG	20P02830027_CSHC18_NEG	20P02830021_CSHC18_NEG	20P02830023_CSHC18_NEG	20P02830028_CSHC18_NEG	20P02830286_CSHC18_NEG	20P02830096_CSHC18_NEG	20P02830227_CSHC18_NEG	20P02830120_CSHC18_NEG	20P02830121_CSHC18_NEG	20P02830122_CSHC18_NEG	20P02830123_CSHC18_NEG	20P02830124_CSHC18_NEG	20P02830264_CSHC18_NEG	20P02830126_CSHC18_NEG	20P02830127_CSHC18_NEG	20P02830128_CSHC18_NEG	20P02830129_CSHC18_NEG	20P02830266_CSHC18_NEG	20P02830059_CSHC18_NEG	20P02830058_CSHC18_NEG	20P02830057_CSHC18_NEG	20P02830051_CSHC18_NEG	20P02830053_CSHC18_NEG	20P02830052_CSHC18_NEG	20P02830295_CSHC18_NEG	20P02830293_CSHC18_NEG	20P02830288_CSHC18_NEG	20P02830317_CSHC18_NEG	20P02830199_CSHC18_NEG	20P02830198_CSHC18_NEG	20P02830195_CSHC18_NEG	20P02830194_CSHC18_NEG	20P02830196_CSHC18_NEG	20P02830315_CSHC18_NEG	20P02830190_CSHC18_NEG	20P02830193_CSHC18_NEG	20P02830192_CSHC18_NEG	20P02830115_CSHC18_NEG	20P02830114_CSHC18_NEG	20P02830116_CSHC18_NEG	20P02830110_CSHC18_NEG	20P02830274_CSHC18_NEG	20P02830176_CSHC18_NEG	20P02830082_CSHC18_NEG	20P02830205_CSHC18_NEG	20P02830080_CSHC18_NEG	20P02830084_CSHC18_NEG	20P02830310_CSHC18_NEG	20P02830306_CSHC18_NEG	20P02830307_CSHC18_NEG	20P02830298_CSHC18_NEG	20P02830299_CSHC18_NEG	20P02830303_CSHC18_NEG	20P02830305_CSHC18_NEG	20P02830240_CSHC18_NEG	20P02830100_CSHC18_NEG	20P02830105_CSHC18_NEG	20P02830038_CSHC18_NEG	20P02830032_CSHC18_NEG	20P02830031_CSHC18_NEG	20P02830030_CSHC18_NEG	20P02830037_CSHC18_NEG	20P02830269_CSHC18_NEG	20P02830328_CSHC18_NEG	20P02830060_CSHC18_NEG	20P02830063_CSHC18_NEG	20P02830064_CSHC18_NEG	20P02830179_CSHC18_NEG	20P02830178_CSHC18_NEG	20P02830069_CSHC18_NEG	20P02830175_CSHC18_NEG	20P02830174_CSHC18_NEG	20P02830173_CSHC18_NEG	20P02830172_CSHC18_NEG	20P02830171_CSHC18_NEG	20P02830170_CSHC18_NEG	20P02830203_CSHC18_NEG	20P02830183_CSHC18_NEG	20P02830180_CSHC18_NEG	20P02830002_CSHC18_NEG	20P02830006_CSHC18_NEG	20P02830188_CSHC18_NEG	20P02830189_CSHC18_NEG	20P02830202_CSHC18_NEG	20P02830271_CSHC18_NEG	20P02830185_CSHC18_NEG	20P02830229_CSHC18_NEG	20P02830228_CSHC18_NEG	20P02830164_CSHC18_NEG	20P02830226_CSHC18_NEG	20P02830092_CSHC18_NEG	20P02830095_CSHC18_NEG	20P02830162_CSHC18_NEG	20P02830163_CSHC18_NEG	20P02830220_CSHC18_NEG	20P02830017_CSHC18_NEG	20P02830016_CSHC18_NEG	20P02830018_CSHC18_NEG	20P02830089_CSHC18_NEG	20P02830151_CSHC18_NEG	20P02830153_CSHC18_NEG	20P02830152_CSHC18_NEG	20P02830154_CSHC18_NEG	20P02830159_CSHC18_NEG	20P02830158_CSHC18_NEG	20P02830276_CSHC18_NEG	20P02830238_CSHC18_NEG	20P02830239_CSHC18_NEG	20P02830234_CSHC18_NEG	20P02830235_CSHC18_NEG	20P02830236_CSHC18_NEG	20P02830237_CSHC18_NEG	20P02830230_CSHC18_NEG	20P02830231_CSHC18_NEG	20P02830232_CSHC18_NEG	20P02830233_CSHC18_NEG	20P02830048_CSHC18_NEG	20P02830046_CSHC18_NEG	20P02830042_CSHC18_NEG	20P02830043_CSHC18_NEG	20P02830040_CSHC18_NEG	20P02830001_CSHC18_NEG	20P02830322_CSHC18_NEG	20P02830323_CSHC18_NEG	20P02830326_CSHC18_NEG	20P02830146_CSHC18_NEG	20P02830147_CSHC18_NEG	20P02830144_CSHC18_NEG	20P02830145_CSHC18_NEG	20P02830142_CSHC18_NEG	20P02830143_CSHC18_NEG	20P02830140_CSHC18_NEG	20P02830141_CSHC18_NEG	20P02830209_CSHC18_NEG	20P02830208_CSHC18_NEG	20P02830075_CSHC18_NEG	20P02830073_CSHC18_NEG	20P02830072_CSHC18_NEG	20P02830079_CSHC18_NEG	20P02830078_CSHC18_NEG
				PI(17:0/18:2)					5												2853387.983	3267300.302	4189581.898	3257083.532	2980505.019	2881973.871	2727595.169	4040617.414	2995142.501	2697450.833	3702049.782	5568607.411	5294304.142	4316470.982	2863755.249	4121324.118	5550236.366	3323482.031	4448070.689	4539506.012	4639034.208	13452198.45	3690214.066	9037832.58	6926965.076	2988502.33	7673246.476	4060924.82	2968930.295	3405022.989	3901527.527	3463722.194	2338309.974	2682154.082	2797178.415	4313474.222	4837536.89	3678157.815	4661168.61	5815206.544	4186566.021	4897893.653	4954273.98	2597313.519	4271625.933	4995833.237	3856015.49	7834964.066	2995835.283	2746055.058	4058487.896	3490122.576	3636235.954	3678167.837	3243465.17	3838681.454	3210374.126	2979345.716	4219124.284	2965017.639	4666712.968	4066031.42	3491263.641	3636222.58	6463768.937	3254744.727	4099689.403	2895879.58	3859434.434	3747233.273	3390933.191	3111944.668	3703921.701	3508483	4761522.438	5072232.668	3182653.578	2638191.087	2385883.777	2050507.903	5209048.499	5687237.341	2414750.97	3674091.229	3619695.13	3210196.835	4615179.39	2548019.273	2862668.998	3478950.459	4658463.841	2909970.84	2586316.355	1782269.669	2782049.656	2440671.868	5454732.961	3717543.675	3102846.642	4679722.176	3478166.101	2477660.083	2746786.658	3606885.262	4289234.589	5288985.327	2732768.618	3472798.159	3842034.096	6102848.031	5344630.128	3902303.483	5430065.134	3141890.591	3211232.526	3588888.577	4395942.957	7451978.985	4575254.028	5138818.728	3304795.139	3987060.919	3328452.282	4095520.463	2106302.231	3261155.842	3043213.16	2563877.881	2572428.119	3129899.68	3777807.421	1761074.931	3322639.747	3082981.505	4309187.342	3793468.889	2985952.644	5275299.983	3496103.298	2048518.535	2917103.023	3098066.991	3657833.163	2684462.576	2431556.136	4665987.387	3221234.234	2322277.995	2876694.465	4981012.324	3318360.223	3160486.79	2625144.511	3197729.333	2966342.688	3265122.508	2722921.946	3298396.847	3531179.711	2399330.544	4358536.326
				PI(18:0/18:3)					5.01												1924348.289	2037741.878	4387506.914	2138752.128	268582.5505	2885168.473	3123994.454	2164336.364	2082031.153	1354043.875	3290839.744	895090.0691	3441970.623	1892869.879	2135845.544	557616.2499	5609198.914	2949638.382	5439144.321	4152012.35	3646549.175	6750027.285	3091271.834	12176374.55	7066052.498	529371.1139	4453840.128	2580282.074	2161029.634	1648901.554	2472147.326	2531039.798	853187.0803	1293270.189	2104464.542	1378015.954	1165997.523	1415154.167	2526705.069	2420583.774	7011417.584	1627647.197	2791637.111	1793955.235	3348072.818	7334644.439	3697476.93	3127734.439	409001.2454	3479931.441	1845673.981	2388976.294	1813750.875	2149308.321	407778.1402	2856157.626	2645034.463	1757056.401	2164279.219	2154812.002	3937335.504	407142.5769	2001497.644	1862123.743	5046783.708	3150286.622	734302.2715	1580208.04	2795024.476	1456264.993	1815333.804	1214592.223	3825983.634	1964323.155	1361503.756	4092524	2030390.642	399443.4738	2697956.644	131769.0874	3545478.036	3058305.58	3824434.413	3067118.175	698074.5364	422661.0114	1625970.585	7831219.747	1358945.835	1759078.301	272343.33	1254500.375	320110.0081	1320722.778	3415268.99	1601636.413	2906661.105	6753175.12	3385553.395	3448179.304	2104101.103	1486588.616	263236.5544	1915242.724	2613975.105	2595592.109	1033288.645	2028436.478	4347904.728	1624688.847	4891042.541	1519945.912	1917244.584	3441374.899	1219430.514	278540.0581	7263047.822	9001327.357	4087249.395	2631549.982	1457380.331	2078930.941	2876060.09	6433735.58	628435.5951	2284015.411	6818356.094	1035915.175	4452824.47	1839317.108	6246405.975	1290227.485	2215771.583	2357597.249	2032798.195	2496372.385	1881250.647	1492078.072	3388093.566	642055.8005	1144194.107	1085709.769	2361648.967	1487208.365	209541.37	6889038.696	380224.7228	728142.9541	1682352.628	1302225.54	1297495.741	4977530.144	851251.6817	282571.6108	1846648.603	3833911.754	999386.9214	1941195.648	4583560.448	1349116.613	3672915.768
				PE(16:1/20:4)					5.02												99982.53812	162907.459	85060.08704	170915.7898	177761.9741	239517.1654	169222.4904	281641.6223	139314.1183	109502.3668	236530.3847	183022.3916	95475.2782	419402.4702	341754.3061	23385.3509	388693.1142	288791.7203	562312.6444	525894.1469	254723.0089	928059.7225	1333565.305	985112.4694	1741484.442	324487.5582	456062.3614	396165.0042	141542.8441	233037.7038	50085.91335	366799.5277	373944.5001	128906.1517	81906.84027	211366.0752	271058.3884	248964.1935	335905.4431	296499.9979	139002.0557	105210.8894	536338.4189	117537.8276	413690.4745	5984352.787	555692.98	442330.4758	114765.8442	349487.4901	395041.5746	306012.4732	210730.7494	244566.5481	101870.9991	86867.24534	367404.1173	212276.0407	774312.2166	315243.4734	270637.5757	219007.1931	857194.1843	200102	272736.9863	154670.4867	376870.2064	211912.3792	222108.7011	109423.6425	163944.3707	55393.83307	637470.2568	173401.0044	92129.64325	318113.0786	125933.3948	47016.74285	139082.9357	453468.1375	460395.8732	239788.2334	103332.4035	295250.5488	349210.7428	72910.86777	1049297.318	634708.4659	137554.2936	207601.98	360186.3588	126544.4471	165610.8563	53550.1523	335391.7242	173311.8149	96353.21772	491444.9963	291650.7014	365181.5553	93234.55932	554814.5701	140757.8659	268249.8561	306714.613	605199.475	167185.8934	148579.0839	290323.7249	617154.5306	492318.2908	177805.3162	141815.0613	265224.218	144583.4811	276324.7612	992564.083	465545.4878	402190.3097	807465.2451	26792.46658	200609.7653	176170.8264	602137.2254	109995.8107	278036.0494	1647881.09	116910.4382	228706.5283	117578.7951	358213.1742	85857.29972	228010.3168	297073.6365	165594.5743	197061.1486	451856.8801	318514.1909	91752.16628	355374.7388	345804.3136	7865.465998	85723.68038	610081.8954	257841.3062	1113015.777	133897.7202	266463.139	327573.3009	230503.1874	44185.6403	351445.9633	85072.49188	14362.93174	192911.9022	329058.4754	473269.0423	200329.0534	415692.9326	19620.51737	378859.5084
				PI(16:0/22:4)					5.09												1578337.958	1669997.825	5220292.445	727057.4337	1510488.902	2248068.744	2530520.541	2252880.195	2123214.844	1206751.737	3994993.488	2685388.85	2420579.721	1407115.666	2007699.968	1889716.544	9365312.981	4628294.97	5929275.593	6032334.975	4318790.793	3850824.617	2376280.589	5646213.951	4242469.118	994777.5571	6198538.557	3842680.611	1298947.668	3009195.434	1554787.31	2982659.246	934369.8064	10468918.65	882717.3305	1640048.435	782400.9947	1401748.563	1560509.067	1673714.409	4505448.703	2322992.843	3561857.865	1560180.105	2827851.51	4806485.831	4043942.63	4614252.745	2224612.506	3043892.543	4675218.537	2550165.405	1698604.682	3969663.608	1995717.642	3234601.692	2976445.731	2189784.36	2402592.908	728468.0694	4678185.109	1627205.324	709628.129	1558618.065	7645801.356	1747394.159	3302052.089	527602.4326	3456644.725	2482039.608	1690727.473	25223873.22	5117467.532	1566910.003	1316222.289	1504142.002	2158078.042	1093262.122	4377747.006	449261.1095	2213200.949	2806355.149	3616751.506	2468160.209	3545808.156	2069981.826	1565590.371	5866200.039	1856955.027	3701108.453	1431269.102	2092308.662	2268951.772	864862.6557	3459982.069	2423214.058	3385706.498	7474344.987	2861538.263	5370078.592	856593.2404	2672184.84	511631.4031	1577268.934	3473079.176	3595681.787	4444223.616	4278929.797	4778701.573	1896005.075	3522844.096	762922.8743	4496870.225	3514462.903	1014887.017	4431750.43	6311374.193	7044487.661	2830735.335	1729769.748	2710425.978	3368350.29	2064244.636	3997548.433	1632212.659	1553434.304	2588430.794	559358.5983	1873387.988	967379.8561	4938160.968	611025.2288	1532734.77	2613239.745	3134146.249	1062253.752	562362.2684	1946308.645	2892689.79	885300.8195	884200.8633	2272915.97	6954382.072	1801808.245	1256804.984	6398782.665	1290507.153	1310729.914	2645129.832	439530.509	2124295.136	4706944.166	996794.7257	1152380.628	1541118.147	4609457.598	963714.9288	2044314.179	6398330.138	1971211.275	3419620.684
				PI(18:0/22:6)					5.13												22473558.74	32892957.35	22191447.11	20054958.24	23173116.61	25038460.89	30381324.56	29283171.1	25727287.34	24442446.13	25057017.44	27560056.45	24719675.56	20885176.25	20772503.38	28406147.03	27081777.36	28650070.57	31283176.67	32201991.03	21108008.36	33411788.61	29389699.6	32591559.42	24247007.53	21803366.75	20041482.59	20341641.43	18925539.46	20684062.54	18335007.12	25108238.54	22110011.47	19689311.28	22697596.67	24559649.32	21445233.66	23127822.79	22669797.18	27301703.31	26439798.69	38887592.06	38774248.3	21237810.34	20534433.08	14285965.23	33493488.72	13445702.6	34495577	29384507.69	19143291.31	17044602.47	20855975.21	16846287.48	25171585.38	27748076.58	18083422.2	32383363.53	23616639.01	20079463.93	57739700.84	34350097.62	20382181.05	28887117.67	30471242.97	22025698.67	21634406.11	18384437.6	25049884.36	25712845.25	31361115.02	27953476.07	23026554.29	22935657.54	30478518.34	33754417.54	12707096.69	24081357.21	25640444.24	12964423.8	20929358.4	45383296.11	20420901.11	28631271.5	20521653.85	24374348.46	19253701.45	25358916.02	24413954.74	19914862.61	46806090.98	30684739.96	16943557.31	18493817.44	25377308.33	16447709.58	29197115.1	29520802.43	25666098.95	19532949.9	31433712.95	28764073.6	24894025.29	26264234.09	28130215.76	29063361.38	23841904.25	22405469.78	23907512.24	25278206.09	19450611.12	30510231.27	24947777.94	22171251.27	27849093.78	32120433.44	27730131.18	39172330.7	28421028.63	22113266.07	21662717.74	22163876.48	18958290.74	22372020.45	28764413.79	28513305.85	10071058.78	22898727.49	37262672.91	29023408.26	25806472.79	24016243.44	28728121.47	21109209.19	19683362.07	24915418.35	29185036.3	47359337.88	24595441.08	29928569.5	17481559.54	25621663.94	34171152.35	23383176.91	24642656.09	30358738.8	21777086.8	16624567.16	23359124.59	21441503.3	21516199.26	20405731.13	15269224.93	20642267.61	20707239.55	21640625.32	21914792.04	26783751.84	27992149.98	18514429.47	26285147.99
				dMePE(18:2/18:2)					5.16												1657797.271	1491593.648	2342424.74	2800931.2	1004633.224	1438632.071	2394832.103	968436.2638	960379.9768	2017925.221	1532328.147	1755060.925	2109451.364	2511783.825	1635681.527	1761944.236	1275379.923	625900.6839	1919105.49	1619952.673	2127558.566	888844.6083	1250777.416	1028532.397	2945575.463	2121414.957	1624267.44	2113505.006	1557010.045	2390552.847	1638795.747	1485239.618	463183.5905	2188460.197	1076177.826	2976660.684	1827034.986	1765587.224	1086659.442	1792896.878	2396324.534	1631063.335	1027155.046	1871743.956	2059666.847	1254598.995	639366.8949	1033480.424	753972.245	1455185.786	3040166.089	2024636.481	2252867.914	3055217.772	2037672.056	1783133.383	2419226.873	1836639.807	2341368.324	1197028.926	618266.5704	494137.9129	948694.0667	1350445.542	1280561.481	1467162.286	1326393.656	1210218.779	1664843.253	1689312.337	1523603.694	1482682.391	1363102.859	2562986.608	916902.8716	1139649.43	1782083.438	1833886.52	1026752.654	1307941.753	1592698.923	2438019.035	2616623.907	1945985.259	1605747.693	2082667.058	586077.0524	1560207.977	840593.0243	2087428.395	987751.4748	1154620.777	2238285.7	2555243.209	1062951.671	1366179.718	784990.0674	2569061.059	1865863.188	1522127.277	1189831.207	672190.743	1603159.323	1557684.08	1968710.051	1780767.302	2259525.862	1761572.424	2003060.491	827688.7224	1638566.176	1122814.534	2238840.704	801138.5951	1468225.311	2055853.872	1532447.86	1298279.242	1803596.925	846351.5972	1767773.325	1443309.419	1266476.667	1714263.792	1157740.146	1869244.955	947739.7578	2147731.504	2623785.632	959193.8973	1007256.52	1271160.329	1573454.234	1548451.739	1387348.118	1240481.444	1271709.678	519572.124	1407323.93	358128.8797	696598.8061	1232334.634	1640562.965	360047.9288	1886648.985	951776.6348	1113248.517	1234282.349	1047905.302	1982368.453	891582.5832	1714179.503	1719850.198	2421609.659	2157494.469	2586158.863	1364868.737	1739562.082	1066350.987	1455277.072	1325301.887
				PG(18:1/18:1)					5.17												97415.79923	111390.0065	301185.0033	273409.0302	194527.5764	194095.209	189891.589	257260.2051	165227.3455	171314.4158	212483.2298	355451.1904	254701.2359	357880.0339	303016.8513	214037.1321	478122.7446	362592.3571	508018.6609	352724.3844	489106.4128	720078.2116	975867.4727	355906.797	2150991.423	236284.1605	557608.7778	413606.7236	187277.3061	464995.9322	253897.9594	435182.2729	328321.1637	284774.5301	375801.1826	855913.0826	605547.6287	396672.7015	108174.0188	466976.0187	138013.8263	500068.1133	963333.5138	172053.8871	261604.966	2888949.674	234147.4684	1313890.378	387541.8787	150361.358	677774.639	273107.8063	372001.3787	335936.7937	126016.1971	320058.6085	283555.946	648310.1346	1111692.93	440252.501	707968.1936	451023.4439	496453.0402	653229.2661	457114.2783	162545.2096	339720.011	200102.532	391079.4281	283864.9833	182935.1213	181996.2104	346611.3918	531680.8386	290753.1704	139820.271	312417.1352	193074.8355	150181.0836	273881.7768	546112.8908	786615.3969	238582.9612	423221.7459	390635.3549	117401.9211	489298.7122	246374.0899	151468.4766	122667.8916	724645.0448	157428.1745	169626.8058	449202.7121	711483.9403	164482.203	327269.7454	468284.5486	280845.9421	283431.832	360556.8125	1157334.772	152215.254	226815.6186	389364.307	240316.5549	256401.1513	130168.9265	275260.1107	629178.3014	231330.3536	184803.6182	331278.9152	147626.6666	292390.2246	247146.0671	666315.7767	397775.0024	774239.1399	390356.3501	316623.2732	307297.2381	429125.2868	160736.2281	331975.9793	501583.7476	834101.5861	223248.963	518213.5607	695419.265	311742.1048	191844.7524	336975.4643	280280.9931	178764.0212	211630.1432	371046.6959	419316.0784	320733.2525	1228783.874	318946.8727	523529.264	655569.2923	558945.7266	240969.8527	331788.7077	282121.6032	120867.2549	292624.0676	491786.3453	435459.5529	298334.7503	169122.6714	153527.655	174449.2319	418302.4532	646799.7513	205669.1353	399538.5006	98935.83188	314177.0167
				PI(16:0/16:0)					5.18												1866617.516	3888742.958	2637295.485	1559310.482	1743200.763	1243854.058	3409260.727	4247034.261	1796990.639	1752754.369	6395168.056	2424631.097	2283908.066	3242301.066	3127727.372	3077621.77	12456538.43	2780032.287	3183297.135	2866550.26	4434239.108	6436586.742	1395394.638	5548773.904	1645389.483	3914480.583	6820764.461	2057208.522	2958375.376	3231649.848	2878145.789	3532158.314	2944969.017	1295931.732	1706973.62	1955101.96	3649752.062	1548724.704	1303172.964	1418226.323	3096216.385	3290158.997	5485023.83	1502156.221	4499076.16	1451318.46	3715241.015	2570108.373	4357414.383	2498703.158	1863348.918	2025461.06	1166906.276	1445732.435	2944522.856	3225114.716	1387199.14	3208281.009	3540937.365	2006540.133	1577598.8	2630913.794	869634.4419	2003065.956	7161515.167	3153390.551	3633135.354	1377461.802	3386973.397	2225920.881	2425507.009	2298554.452	3596526.384	2236511.306	2698736.626	1948233.172	2076877.208	1705533.62	8538226.845	1312182.999	2713868.381	5052489.324	3659442.838	2637003.991	2203601.644	2328065.891	906130.636	2489373.848	1546928.171	1159289.584	692815.2198	1655481.421	1059097.303	1950151.373	3127515.273	1068078.371	1016293.454	1845795.188	2086567.781	5038267.774	2871123.86	1329855.85	1305018.634	2129536.218	2856185.448	4633222.417	2289125.763	1400894.323	8396362.375	2059029.929	2974750.661	2215225.025	4881000.557	3944476.749	1574109.991	1566949.172	3398704.159	7173777.628	2195747.35	1964373.452	2118593.247	3034686.408	2928437.473	5441682.885	2375457.816	2954876.375	955491.4605	1038127.426	2871119.756	4181059.594	3199945.961	2999631.048	2234155.287	2972005.997	1619918.877	1985523.994	1482162.488	4351668.82	2695075.773	2229063.993	990581.254	2154511.848	9453274.605	3150617.312	1688102.433	5884010.638	1812851.972	2532302.327	2543649.528	3181704.707	2138387.657	4350557.224	1092769.303	2225700.758	1492833.089	1604257.328	1308343.99	1973012.412	7190872.417	2838636.792	2976535.247
				PE(16:1/18:2)					5.23												205626.6248	299167.076	393502.2955	415626.7819	369781.5956	446527.4873	501136.2399	540034.6784	271521.4886	199277.6713	303076.8967	228271.8837	326503.3924	569632.4061	231188.7055	41136.31417	421037.9558	341584.6353	698581.5341	1151554.715	841668.846	1558283.681	2679462.933	825779.3664	7468807.708	336660.5805	664949.6508	734417.7006	297992.8297	376411.2207	53072.62474	378001.6973	383460.5676	137151.0798	91264.50174	254066.5825	339799.6751	336448.4444	541117.2096	573486.7788	178645.5892	265484.0731	507992.4381	270378.8046	926111.8657	6257044.321	417872.2387	1853698.994	295359.7087	489133.1594	1010873.026	497359.7291	541214.535	626790.912	172888.7655	120775.0977	550258.8423	339701.6295	1626366.904	289849.3792	632835.4552	222583.7807	932934.2639	363603.2404	507088.189	422237.3741	406371.2734	262525.7443	196179.5501	129182.1469	220541.7839	143007.5985	733075.9367	255907.3042	166173.795	262749.6611	247094.3186	34501.38541	250445.3321	738625.4799	460753.7387	463093.7138	90148.63107	493364.8987	512776.7221	101304.9212	2251000.728	451366.9785	171662.5613	362704.4586	956722.4106	155068.2643	310573.3229	77463.92819	475191.4542	257737.1582	213606.111	941615.8162	320753.232	660024.5917	110024.6422	612608.5905	180863.994	408211.2722	663178.8336	596993.0615	416077.2604	257169.5293	376938.6296	1681100.44	439432.7764	412620.8617	441886.2743	453369.4127	163653.1002	584214.2748	991632.6977	566402.8829	347839.7319	2343615.777	68019.48635	402445.5309	181853.275	883597.1002	108863.0006	475384.23	1888327.598	209315.4682	232523.3879	143667.8644	373753.3401	205423.4666	271689.868	341243.0808	213612.0066	130859.6412	408322.288	649429.1835	383236.3175	849474.618	656840.4019	59039.03306	318532.8166	369598.6863	262854.6531	746724.3559	160092.6524	165937.6733	653763.705	439299.9623	95263.4522	376826.1314	286422.3972	48747.84552	312460.8153	427316.6651	1115646.687	243365.1286	408886.3624	80443.12304	458279.8734
				PS(18:0/22:6)					5.25												937892.9014	511984.2911	1446244.926	3690284.812	1026798.618	615950.2341	1133404.541	1719550.634	558572.6784	486501.9674	396390.06	340429.5681	834483.5426	460978.4895	801637.193	586343.4558	747293.3636	516608.8594	926720.1964	3967046.407	627175.7664	996214.6771	1535274.212	867965.0206	1251812.56	855963.5713	313165.3382	969706.4185	811521.2063	612184.5095	386958.148	679913.8931	896547.2647	2854532.267	694384.6142	665955.326	769375.6889	655841.8599	6419080.447	888318.1935	459338.5196	839688.8148	542419.4322	904449.7229	547090.427	1714646.68	3246452.178	2931190.886	5324047.78	1738082.507	1225656.909	787206.2327	9845598.376	1793063.549	2497358	1279602.41	713946.7605	1088966.908	1098143.851	456975.901	1275636.185	739767.4447	2836626.733	763103.7933	381645.2875	714944.7491	1932695.627	993610.1796	1357385.691	3803498.818	2356884.908	2040473.746	3360362.809	1622800.368	3429994.886	670596.3898	890062.3506	755818.4426	430638.6484	731996.3625	434742.8874	923055.2302	292543.4636	1379629.822	1319797.033	596950.6286	9796027.081	408277.2038	740732.7375	408815.9693	1647199.498	528356.0714	1136362.889	745969.013	665304.016	325794.6029	688407.3394	752125.8306	808366.099	734020.959	1008863.132	1475760.33	3215544.299	1139575.48	998733.6641	4121396.288	1090669.552	2808430.414	1434453.066	730292.5885	691440.4885	737124.5341	469540.685	522950.3624	511468.5941	1088890.983	546799.238	838948.2135	741057.7581	926773.8866	298660.8333	2643730.996	343746.1033	710945.7468	380047.8302	556733.6002	1256223.339	2217551.818	4222129.454	2632645.515	3142406.856	2478325.096	1826786.642	1877977.755	1312291.33	1497524.626	2234587.937	1492703.578	704039.5013	4158283.353	2604700.865	453285.3831	1123798.902	1309949.103	1087419.625	3337985.024	565597.5451	493242.4166	811915.036	503185.6136	889036.3758	807688.7863	429944.5121	448904.043	2153877.422	830184.7058	1296549.53	487511.0521	708833.6146	230438.3471	383451.2615
				PE(18:1/20:5)					5.28												2788110.474	2970415.667	2947784.13	5466305.864	3786933.994	4199585.571	3776469.09	4429556.893	2674768.25	1855769.135	1645337.6	1667136.052	1524981.158	5676855.493	2341907.193	1645661.546	1387786.827	1072762.602	3855361.314	3432301.979	3392274.729	2487692.386	6345369.489	2234928.189	8296954.828	2631606.972	3173656.146	5137249.791	2708657.049	2944523.267	1635045.397	2411241.579	3309097.213	3278495.865	2374312.155	4050660.889	4041278.054	2125504.022	3795780.372	3250042.47	2477671.601	2030448.258	3908635.678	2440953.144	3199535.36	5597588.799	2069487.935	2105761.636	2491049.108	4887536.846	4048958.765	5364983.763	5206664.667	5760798.138	2019374.169	2971947.698	6190608.115	3402179.605	5294291.233	2688816.12	1751499.383	2573791.4	5356027.223	1891618.833	1889579.941	3150535.345	2291776.043	3409887.189	2778576.418	4044472.765	1840595.99	1918974.685	3990810.717	4282820.302	2368730.521	1692202.264	1924641.264	1546031.182	1577079.698	4479319.286	3743690.241	5051103.746	2883722.312	2476836.775	2030177.395	2561588.64	2481710.368	3564755.818	2402294.426	1968767.846	3348233.112	1332760.862	3138289.406	2590395.54	3381553.087	2681262.407	3963924.973	6354979.218	4936207.806	2939514.896	3043897.316	1678666.187	3271520.161	4379128.142	4512562.251	4071985.692	4014981.015	2683518.414	5292632.565	2748081.38	5579799.37	1465428.515	3826066.734	2411749.314	1288958.872	5035856.717	3166489.355	1354441.108	3856892.02	2420965.071	1137652.398	2457317.477	2167036.719	4023706.894	1111965.497	2369122.054	2526033.893	2226219.007	1854602.191	1652055.344	3538670.213	2617008.576	2040413.618	2926403.036	1773947.356	2157328.139	3237922.106	3898951.457	3000381.971	4561130.656	2585877.604	1271567.896	3043546.083	2316435.259	2817239.525	4455084.675	2313379.949	3384115.196	2913134.639	4326940.02	1056677.384	3240096.903	1521673.43	1199852.127	4649979.679	4728872.022	4898249.272	2395158.816	3308436.095	1547608.247	2240442.122
